,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
72,FCNN,PharmacoErGFP,4,0.340047969,2.133813736,1.44868788,0.994512879,0.807647492,0.862982764,5925,0.862724229,0.862982764,1.44868788,2.098696574,0.988206971,0.188457807
73,FCNN,PharmacoErGFP,8,0.124102347,2.937521266,2.75185167,0.999218583,0.640781857,0.706492209,5499,0.689431317,0.706492209,2.75185167,7.572687614,1.691119967,0.28439392
74,FCNN,PharmacoErGFP,16,0.345680739,1.682564986,1.863805681,0.994390617,0.82009182,0.826610251,1041,0.785935264,0.826610251,1.863805681,3.473771617,1.322795822,0.315567073
75,FCNN,PharmacoErGFP,32,0.1315699,1.774502616,3.808503065,0.999110944,0.840565198,0.53203161,856,0.526584527,0.53203161,3.808503065,14.5046956,2.150690701,0.632790903
76,FCNN,PharmacoErGFP,64,0.336888465,2.530383965,3.177720471,0.994557773,0.705802823,0.496719273,5853,0.481321355,0.496719273,3.177720471,10.09790739,1.693009385,0.578245698
77,FCNN,PharmacoErGFP,128,0.344009707,2.323219157,2.378398197,0.994555681,0.667000683,0.676312809,1770,0.670228802,0.676312809,2.378398197,5.656777983,1.308078123,0.320713302
78,FCNN,PharmacoErGFP,256,0.366003584,2.394626019,2.587660946,0.994250254,0.717765801,0.673151871,323,0.654315418,0.673151871,2.587660946,6.69598917,1.675075015,0.535015273
79,FCNN,PharmacoErGFP,512,0.334220686,2.591581513,2.190908729,0.994721701,0.665193027,0.785227328,269,0.782619199,0.785227328,2.190908729,4.800081061,1.487290381,0.284304176
average,,,,,,,,,,,0.693972004,0.706185091,2.467476544,6.490690943,1.510321918,0.373210225
st.p,,,,,,,,,,,0.112502378,0.112631066,0.63423217,3.396809701,0.297059034,0.14419885
,,,,,,,,,,,,,,,,
80,FCNN,PharmacoPFP,1,0.326810059,3.129521653,2.236800523,0.994780778,0.667656106,0.747645769,819,0.743001336,0.747645769,2.236800523,5.003276581,1.585136744,0.414257897
81,FCNN,PharmacoPFP,2,0.316098418,2.204720616,2.638638834,0.995285092,0.721449417,0.68033876,4439,0.643215556,0.68033876,2.638638834,6.962414895,1.447762983,0.298220557
82,FCNN,PharmacoPFP,4,0.316495809,2.249492085,1.915317489,0.995251632,0.810904172,0.787484704,1173,0.760047219,0.787484704,1.915317489,3.668441085,1.475534065,0.235148068
83,FCNN,PharmacoPFP,8,0.258327687,2.677735473,2.207137208,0.996615015,0.703008424,0.80281829,3487,0.800213434,0.80281829,2.207137208,4.871454656,1.353760973,0.271551302
84,FCNN,PharmacoPFP,16,0.243596423,2.010748146,1.767693924,0.997219649,0.7475751,0.821987684,985,0.807443579,0.821987684,1.767693924,3.124741808,1.191352123,0.320802688
85,FCNN,PharmacoPFP,32,0.268286471,1.745863354,3.823536418,0.996312586,0.850736693,0.537462354,5158,0.522839713,0.537462354,3.823536418,14.61943074,2.076827794,0.604593039
86,FCNN,PharmacoPFP,64,0.248989678,2.362091303,2.907043796,0.997027341,0.789256259,0.570642424,576,0.565919643,0.570642424,2.907043796,8.450903633,1.919500652,0.614512767
87,FCNN,PharmacoPFP,128,0.264447976,2.303146881,2.095612846,0.996784351,0.730872038,0.748932665,517,0.743984835,0.748932665,2.095612846,4.391593199,1.613940978,0.479667573
88,FCNN,PharmacoPFP,256,0.307036295,2.389071963,2.913906424,0.995487739,0.717543435,0.563416391,930,0.561654584,0.563416391,2.913906424,8.490850645,1.545786557,0.567189483
89,FCNN,PharmacoPFP,512,0.21937682,2.365027521,2.691931508,0.997726044,0.696445525,0.75209419,5278,0.67182868,0.75209419,2.691931508,7.246495245,1.578677496,0.257101341
average,,,,,,,,,,,0.682014858,0.701282323,2.519761897,6.682960249,1.578828037,0.406304472
st.p,,,,,,,,,,,0.099127449,0.101322046,0.577719855,3.20747282,0.243939855,0.142374728
,,,,,,,,,,,,,,,,
90,FCNN,PubChemFP,1,0.467592499,1.985768019,1.25290081,0.989315094,0.850654738,0.925653089,466,0.919367573,0.925653089,1.25290081,1.569760441,0.81105104,0.140077072
91,FCNN,PubChemFP,2,0.520036651,1.035336306,1.349032314,0.987260879,0.942195709,0.918868608,5463,0.906741008,0.918868608,1.349032314,1.819888185,0.766514237,0.113256577
92,FCNN,PubChemFP,4,0.499082893,2.547595634,1.096404277,0.988268927,0.713728741,0.929626998,308,0.92137047,0.929626998,1.096404277,1.202102338,0.798154913,0.117309512
93,FCNN,PubChemFP,8,0.461388836,1.582741758,1.836435606,0.989537834,0.894964867,0.871424453,292,0.861688266,0.871424453,1.836435606,3.372495736,0.962696285,0.178105946
94,FCNN,PubChemFP,16,0.553534906,1.203497145,0.856426144,0.986082575,0.910015516,0.955455728,3468,0.954801533,0.955455728,0.856426144,0.733465739,0.573957319,0.118611216
95,FCNN,PubChemFP,32,0.450862263,1.898420024,1.941274905,0.989559964,0.826724379,0.89038958,537,0.876999207,0.89038958,1.941274905,3.768548256,1.037303936,0.215310563
96,FCNN,PubChemFP,64,0.477171978,1.438981512,1.26319755,0.989126929,0.893770016,0.918736417,577,0.918038569,0.918736417,1.26319755,1.595668051,0.768030113,0.139665536
97,FCNN,PubChemFP,128,0.499195761,0.956535931,1.584360235,0.988556563,0.945778922,0.861612575,5458,0.853663907,0.861612575,1.584360235,2.510197353,0.830772596,0.125734374
98,FCNN,PubChemFP,256,0.560272222,1.30251127,1.039677188,0.985169375,0.915940145,0.948334522,5558,0.94419639,0.948334522,1.039677188,1.080928656,0.670956009,0.21018324
99,FCNN,PubChemFP,512,0.497895013,1.05210162,1.144819699,0.988288411,0.929930253,0.942976364,403,0.940646436,0.942976364,1.144819699,1.310612142,0.791695512,0.133479826
average,,,,,,,,,,,0.909751336,0.916307833,1.336452873,1.89636669,0.801113196,0.149173386
st.p,,,,,,,,,,,0.033172679,0.030371881,0.332054828,0.954260883,0.124017462,0.036251357
,,,,,,,,,,,,,,,,
100,FCNN,MHFP6,1,0.339171142,1.708495634,0.990283121,0.994378582,0.877196967,0.955560886,5896,0.949627314,0.955560886,0.990283121,0.980660659,0.615990353,0.101233317
101,FCNN,MHFP6,2,0.29548526,1.343013768,1.160365715,0.995859588,0.898777468,0.939765818,137,0.931002114,0.939765818,1.160365715,1.346448593,0.751118204,0.157115625
102,FCNN,MHFP6,4,0.335998803,1.609904994,1.112150943,0.994642668,0.892670157,0.92089213,147,0.919095681,0.92089213,1.112150943,1.236879721,0.765168643,0.114449161
103,FCNN,MHFP6,8,0.354159392,1.717351565,1.596721998,0.993636134,0.886266507,0.90599481,1212,0.895439841,0.90599481,1.596721998,2.549521138,0.998025734,0.187036347
