,model,fp_types,seed,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_epoch,r2_score,pearson_r2,rmse,mse,mae,mape
162,FCNN,Estate_CC,4,0.314078878,4.675680798,1.101631749,0.995329763,0.517505902,0.931539232,213,0.920618897,0.931539232,1.101631749,1.213592511,0.678530965,0.096052054
163,FCNN,Estate_CC,8,0.284063741,0.766484116,1.685761445,0.996147639,0.976830312,0.887427211,5298,0.883453335,0.887427211,1.685761445,2.84179165,0.887460032,0.222445622
164,FCNN,Estate_CC,16,0.400040275,0.671697093,0.698410879,0.994034339,0.972051233,0.972133989,169,0.9699416,0.972133989,0.698410879,0.487777756,0.503479029,0.139801327
165,FCNN,Estate_CC,32,0.278744842,1.216034022,2.434376816,0.996130267,0.930598677,0.807925658,4794,0.806576412,0.807925658,2.434376816,5.926190483,1.211643183,0.242789695
166,FCNN,Estate_CC,64,0.394091604,1.852909214,1.227962979,0.993212475,0.846570529,0.923732609,276,0.922547127,0.923732609,1.227962979,1.507893077,0.74181771,0.144817157
167,FCNN,Estate_CC,128,0.401447378,1.919983615,1.391682164,0.992593234,0.851340709,0.901666494,1176,0.887092261,0.901666494,1.391682164,1.936779245,0.632633744,0.126485463
168,FCNN,Estate_CC,256,0.362557211,0.660932691,2.068018422,0.994265651,0.978665235,0.782638101,5665,0.779212708,0.782638101,2.068018422,4.276700193,0.673036825,0.141038812
169,FCNN,Estate_CC,512,0.339451162,0.923389957,1.104799593,0.996188562,0.955242043,0.94628448,601,0.944723616,0.94628448,1.104799593,1.22058214,0.68382724,0.100845465
170,FCNN,Connectivity_CC,1,0.619865567,1.006810175,0.945090128,0.982465699,0.961522769,0.955752264,1235,0.954120064,0.955752264,0.945090128,0.893195349,0.541375833,0.088307082
171,FCNN,Connectivity_CC,2,0.845524205,0.778223165,0.696060754,0.967237551,0.970371577,0.975551899,1463,0.975172082,0.975551899,0.696060754,0.484500573,0.509616572,0.087836679
172,FCNN,Connectivity_CC,4,0.648559509,1.805626714,0.929320243,0.980050156,0.858781432,0.947959748,1065,0.94350955,0.947959748,0.929320243,0.863636114,0.599037332,0.088488459
173,FCNN,Connectivity_CC,8,0.7721094,1.100905542,1.314946806,0.970130697,0.963000952,0.938302601,764,0.929087306,0.938302601,1.314946806,1.729085104,0.81181437,0.161037018
174,FCNN,Connectivity_CC,16,0.67376139,0.849784782,0.709546217,0.980848064,0.964036355,0.969264898,307,0.968975468,0.969264898,0.709546217,0.503455834,0.546324314,0.115719321
175,FCNN,Connectivity_CC,32,0.548924728,1.722936466,1.807113287,0.985145627,0.860112243,0.900206286,1896,0.893412914,0.900206286,1.807113287,3.265658431,0.822876014,0.104979596
176,FCNN,Connectivity_CC,64,0.741056697,1.008944037,0.956579135,0.973769187,0.949475031,0.954872705,2749,0.952998817,0.954872705,0.956579135,0.915043642,0.563765811,0.103639817
177,FCNN,Connectivity_CC,128,0.643239438,0.989384428,1.010329263,0.980977323,0.946725329,0.943972721,5425,0.940492809,0.943972721,1.010329263,1.02076522,0.63923744,0.119816496
178,FCNN,Connectivity_CC,256,0.729581348,0.759176058,1.406845441,0.975019759,0.97628558,0.899408635,5993,0.897821848,0.899408635,1.406845441,1.979214094,0.69470706,0.118224579
179,FCNN,Connectivity_CC,512,0.705079928,0.868694545,1.316877566,0.977105652,0.962058197,0.92566307,5959,0.921464971,0.92566307,1.316877566,1.734166525,0.859227778,0.170824882
180,FCNN,Topology_CC,1,0.969684294,0.802368408,1.106727189,0.954179647,0.973185961,0.940077829,4485,0.93708452,0.940077829,1.106727189,1.22484507,0.6694275,0.104380788
181,FCNN,Topology_CC,2,1.017307938,0.941150365,0.75363534,0.950985077,0.951166482,0.971114043,1480,0.970894938,0.971114043,0.75363534,0.567966226,0.563755065,0.08359051
182,FCNN,Topology_CC,4,0.915231257,1.285760873,1.058541373,0.960379868,0.930836582,0.934254051,3046,0.926707436,0.934254051,1.058541373,1.120509838,0.678396535,0.097791173
183,FCNN,Topology_CC,8,0.890045838,1.039479211,1.4792677,0.95981186,0.960165918,0.921171113,290,0.910256879,0.921171113,1.4792677,2.188232928,0.883518232,0.137561921
184,FCNN,Topology_CC,16,1.023379649,0.885411479,0.690757036,0.952304569,0.960185125,0.971365623,1479,0.970596806,0.971365623,0.690757036,0.477145282,0.480267503,0.084307002
185,FCNN,Topology_CC,32,0.724085102,1.571890521,1.697652752,0.973643948,0.879870882,0.912656433,3601,0.905934243,0.912656433,1.697652752,2.882024867,0.784490198,0.103623463
186,FCNN,Topology_CC,64,0.95880653,1.064660369,1.01237779,0.958169853,0.94740124,0.947439419,2549,0.947355597,0.947439419,1.01237779,1.024908789,0.548383867,0.088224296
187,FCNN,Topology_CC,128,0.921668881,1.172309169,1.061619984,0.962788864,0.926757503,0.941899164,2956,0.934297521,0.941899164,1.061619984,1.127036991,0.599821344,0.109864868
188,FCNN,Topology_CC,256,0.949657871,1.166670681,1.09244441,0.957382825,0.931996344,0.941394721,5987,0.938388191,0.941394721,1.09244441,1.193434788,0.587518497,0.111457353
189,FCNN,Topology_CC,512,0.956992862,1.203671643,1.094869742,0.958092703,0.9217309,0.951867948,5439,0.94571279,0.951867948,1.094869742,1.198739752,0.743278884,0.112520081
190,FCNN,Kappa_CC,1,0.786377775,1.237955071,1.147533482,0.969818534,0.942023717,0.935664787,1309,0.932359457,0.935664787,1.147533482,1.316833092,0.693585436,0.11339989
191,FCNN,Kappa_CC,2,0.89571164,1.452382075,1.056304061,0.962051234,0.887525952,0.94486371,452,0.942822665,0.94486371,1.056304061,1.11577827,0.813463918,0.115568831
192,FCNN,Kappa_CC,4,0.802745485,1.334510071,1.054311812,0.970207975,0.92451749,0.934828904,1166,0.927291969,0.934828904,1.054311812,1.111573396,0.670942558,0.092820924
193,FCNN,Kappa_CC,8,0.861713788,1.061287264,1.356856369,0.962333136,0.957024037,0.931984375,1369,0.924495059,0.931984375,1.356856369,1.841059207,0.771814419,0.124737027
194,FCNN,Kappa_CC,16,0.960815984,0.86488178,0.735658169,0.961585387,0.954823787,0.966746717,224,0.966649988,0.966746717,0.735658169,0.541192942,0.559417324,0.098519423
