smiles,rt_min,CM_Tem,CM_Speed,CM_Particle Size,CM_Inner Diameter,CM_Length,CM_PhaseA_W_per,CM_PhaseA_O_per,CM_PhaseA_FA_per,CM_PhaseA_TFA_per,CM_PhaseB_O_pKa,CM_PhaseB_O_per,CM_PhaseB_W_per,CM_PhaseB_FA_per,CM_PhaseB_TFA_per,CM_RT-initial,CM_RT-final,CM_time
O=C(NOCCCNCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.27,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.35,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.37,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCN(C)CCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.75,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.84,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(N(C)C3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.42,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(COCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,3.97,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(CCOCCOCCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,3.98,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(CCOCCOCCOCCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,4,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(CCCCCCCCCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,4,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
