RT(min),RT_Pred,,,,,,,,,,,
Y,seed1,seed2,seed4,seed8,seed16,seed32,seed64,seed128,seed258,seed512,average,std
0.57,1.0758227,0.8585404,0.704467,0.8381237,0.6369873,1.014085,0.86366636,0.90769553,0.64671624,1.0879682,0.863407243,1.088¡À0.863
1.12,1.6021603,1.9988976,1.470444,1.7262493,1.7455139,1.8030447,1.6861116,1.6376687,1.5986907,1.4885736,1.67573544,1.489¡À1.676
5.78,9.123561,9.895667,9.233099,9.93158,9.407653,8.873,9.070929,8.565375,10.308858,9.059962,9.3469684,9.060¡À9.347
5.99,9.1490755,9.591045,9.410996,9.905217,9.350932,8.850364,8.982042,8.536384,9.793078,9.054965,9.26240985,9.055¡À9.262
6.49,9.238686,9.8737,9.584501,10.223845,9.576352,9.029506,9.143207,8.624793,10.016631,9.157316,9.4468537,9.157¡À9.447
6.94,9.446939,9.997999,9.777206,10.575405,9.853097,9.412541,9.328373,8.812475,10.253508,9.270388,9.6727931,9.270¡À9.673
7.69,9.56653,10.014795,9.8497715,10.70388,9.95475,9.516034,9.37055,8.876233,10.437322,9.261422,9.75512875,9.261¡À9.755
5.89,9.071855,9.689743,9.314457,9.811545,9.278015,8.636225,8.998436,8.479572,10.425806,9.028979,9.2734633,9.029¡À9.273
5.97,9.125099,9.47582,9.221562,9.787389,9.342199,8.793522,8.930896,8.517882,9.922873,9.02209,9.2139332,9.022¡À9.214
6.16,8.885049,9.2998085,9.198615,8.540475,8.85909,8.717902,8.758112,8.420008,9.220866,9.014578,8.89145035,9.015¡À8.891
6.9,7.3341575,7.1957684,7.8464627,6.6095657,7.3486977,7.63147,7.033691,6.6978726,7.8655114,7.6236715,7.31868685,7.624¡À7.319
6.88,9.111328,9.308678,9.173101,9.1153345,9.373667,9.066245,8.934691,8.315426,9.865841,9.053562,9.13178735,9.054¡À9.132
6.37,7.265787,7.1846147,7.171996,7.241974,6.952723,7.2303715,7.1565633,7.2084875,7.004481,7.336962,7.175396,7.337¡À7.175
5.96,8.8089695,9.183723,9.11852,8.56407,8.81779,8.693268,8.747083,8.360901,9.140736,8.924151,8.83592115,8.924¡À8.836
10.71,9.505906,10.50405,10.104283,9.905793,9.727174,9.325199,8.741078,8.603068,10.115265,9.162875,9.5694691,9.163¡À9.569
14.46,13.2690735,14.192224,14.117596,13.117262,13.785622,13.679941,13.212944,12.379874,14.517717,12.870225,13.51424785,12.870¡À13.514
9.72,5.935774,6.1493535,6.1748886,6.1138806,5.871427,5.782761,5.7408113,5.709857,6.0456734,5.7894626,5.9313889,5.789¡À5.931
8.95,5.4768276,5.643989,5.874683,5.7926884,5.2752085,5.6493874,5.456815,5.473414,5.6861196,5.5659695,5.5895102,5.566¡À5.590
9.8,5.945058,6.059062,6.1797996,6.070718,5.9004283,5.73357,5.793282,5.690389,6.0513244,5.7490916,5.91727229,5.749¡À5.917
9.08,5.5352373,5.606784,5.894138,5.802335,5.3286304,5.6100087,5.5007777,5.4483542,5.732164,5.529005,5.59874343,5.529¡À5.599
