smiles,rt_min
O=C1N(C(CC2)C(NC2=O)=O)C(C3=C1C=CC(N4CCN(C5CN(CC#CCOC6=CC=C(C(F)(F)F)C=C6)C5)CC4)=C3)=O,13.243
O=C1N(C(CC2)C(NC2=O)=O)C(C3=C1C=CC(N4CCN(C5CN(CCCCOC6=CC=C(C(F)(F)F)C=C6)C5)CC4)=C3)=O,13.302
O=C(C(N(CC1=C2C=CC(C#CCN3CCN(C(CCC(N4C[C@H](N5N=C(C6=CC=C(OC7=CC=CC=C7)C=C6)C8=C(N)N=CN=C85)CCC4)=O)=O)CC3)=C1)C2=O)CC9)NC9=O,15.43
O=C(NCC#CCN1CCN(CC#CC2=CC3=C(C(N(C(CC4)C(NC4=O)=O)C3)=O)C=C2)CC1)CC(N5C[C@H](N6N=C(C7=CC=C(OC8=CC=CC=C8)C=C7)C9=C(N)N=CN=C96)CCC5)=O,13.891
O=C(NCC#CCN1CCN(CC#CC2=CC3=C(C(N(C(CC4)C(NC4=O)=O)C3)=O)C=C2)CC1)CCC(N5C[C@H](N6N=C(C7=CC=C(OC8=CC=CC=C8)C=C7)C9=C(N)N=CN=C96)CCC5)=O,14.428
O=C(NCC#CCN1CCN(CC#CC2=CC3=C(C(N(C(CC4)C(NC4=O)=O)C3)=O)C=C2)CC1)CCCC(N5C[C@H](N6N=C(C7=CC=C(OC8=CC=CC=C8)C=C7)C9=C(N)N=CN=C96)CCC5)=O,14.344
O=C(NCC#CCN1CCN(CC#CC2=CC3=C(C(N(C(CC4)C(NC4=O)=O)C3)=O)C=C2)CC1)CCCCC(N5C[C@H](N6N=C(C7=CC=C(OC8=CC=CC=C8)C=C7)C9=C(N)N=CN=C96)CCC5)=O,14.613
O=C(NCC#CCN1CCN(CC#CC2=CC3=C(C(N(C(CC4)C(NC4=O)=O)C3)=O)C=C2)CC1)CCCCCCC(N5C[C@H](N6N=C(C7=CC=C(OC8=CC=CC=C8)C=C7)C9=C(N)N=CN=C96)CCC5)=O,15.23
O=C(C(N(CC1=C2C=CC(C#CCN3CCN(C(/C=C/C(N4C[C@H](N5N=C(C6=CC=C(OC7=CC=CC=C7)C=C6)C8=C(N)N=CN=C85)CCC4)=O)=O)CC3)=C1)C2=O)CC9)NC9=O,16.007
O=C(C1(C(N2C[C@H](N3N=C(C4=CC=C(OC5=CC=CC=C5)C=C4)C6=C(N)N=CN=C63)CCC2)=O)CC1)NCC#CCN7CCN(CC#CC8=CC9=C(C(N(C(CC%10)C(NC%10=O)=O)C9)=O)C=C8)CC7,14.293
O=C(C(N(CC1=C2C=CC(C#CCN3CCN(C(C4(C(N5C[C@H](N6N=C(C7=CC=C(OC8=CC=CC=C8)C=C7)C9=C(N)N=CN=C96)CCC5)=O)CC4)=O)CC3)=C1)C2=O)CC%10)NC%10=O,16.651
O=C([C@H]1[C@@H](C(N2C[C@H](N3N=C(C4=CC=C(OC5=CC=CC=C5)C=C4)C6=C(N)N=CN=C63)CCC2)=O)CCCC1)NCC#CCN7CCN(CC#CC8=CC9=C(C(N(C(CC%10)C(NC%10=O)=O)C9)=O)C=C8)CC7,15.404
O=C([C@H]1CC[C@H](C(N2C[C@H](N3N=C(C4=CC=C(OC5=CC=CC=C5)C=C4)C6=C(N)N=CN=C63)CCC2)=O)CC1)NCC#CCN7CCN(CC#CC8=CC9=C(C(N(C(CC%10)C(NC%10=O)=O)C9)=O)C=C8)CC7,16.414
O=C(C(N(CC1=C2C=CC(C#CCN3CCC(N4CCC(N5N=C(C6=CC=C(OC7=CC=CC=C7)C=C6)C8=C(N)N=CN=C85)CC4)CC3)=C1)C2=O)CC9)NC9=O,11.797
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@H](C)NC)=O)=O)C[C@@H](OC3=CC(OCCCCC(N[C@H](C(N4C[C@@H](O)C[C@H]4C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)=CC=C3)C1)N[C@@H]7CCCC8=CC=CC=C87,6.5
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,7.19
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCCCCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,8.04
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCCCOCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,7.42
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCOCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,6.63
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCOCCOCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,6.64
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCCCCCOCCCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,8.26
O=C(N[C@@H]1CCCC2=CC=CC=C21)[C@H]3N(C[C@H](C3)OC4=CC(OCCCCCOCCCCCOCCCCCCNC5=CC=CC(C(N6C7CCC(NC7=O)=O)=O)=C5C6=O)=CC=C4)C([C@@H](NC([C@@H](NC)C)=O)C8CCCCC8)=O,8.6
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCCCCCOCCCCCCOCCCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,9.08
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCOCCCCCCOCCCCCCNC4=CC=CC(C(N5C(CC6)C(N(C)C6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,8.53
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](OC3=CC=CC(OCCCCCCOCCCCCCOCCCCCCNC4=CC=CC(C(N5C(CC6)C(N(C)C6=O)=O)=O)=C4C5=O)=C3)C1)N[C@@H]7CCCC8=C7C=CC=C8,8.4
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(COC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,7.782
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,7.963
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,8.393
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,9.028
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,9.763
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,10.87
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCCCCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,11.728
FC1=CC=C(CNC2=NC3=C(C(NC4=NNC(C)=C4)=N2)C=NN3C5CCN(C(CCCCCCCCCCCCCCCOC6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)=O)CC5)C(F)=C1,13.06
