smiles,rt_min
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCC(NCCOCCOCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,11.24
O=C(NCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)CCCOC4=CC=C(CC(NC5=NNC(C6CCC6)=C5)=O)C=C4,12.9
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCC(NCCCOCCOCCOCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,13.41
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCCOCCOCCOCC(NCCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,12.66
O=C(NCCCOCCOCCOCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)CCCOC4=CC=C(CC(NC5=NNC(C6CCC6)=C5)=O)C=C4,13.44
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCCOCCOCCOCC(NCCOCCOCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,13.83
O=C(NC1=NNC(C2CCC2)=C1)CC3=CC=C(OCCOCCOCCOCC(NCCCOCCOCCOCCCNC4=CC=CC(C(N5C(CC6)C(NC6=O)=O)=O)=C4C5=O)=O)C=C3,13.58
COC1=CC(OC)=CC(CCC2=CC(NC(C3=CC=C(N4C[C@H](C)N(CC(NCCC5=CC=C(OCC(N[C@@H](C(C)(C)C)C(N6[C@H](C(N[C@H](C7=CC=C(C8=C(C)N=CS8)C=C7)C)=O)C[C@@H](O)C6)=O)=O)C=C5)=O)[C@H](C)C4)C=C3)=O)=NN2)=C1,2.825
COC1=CC(OC)=CC(CCC2=CC(NC(C3=CC=C(N4C[C@H](C)N(CC(NCCC5=CC=C(OCCC(N[C@@H](C(C)(C)C)C(N6[C@H](C(N[C@H](C7=CC=C(C8=C(C)N=CS8)C=C7)C)=O)C[C@@H](O)C6)=O)=O)C=C5)=O)[C@H](C)C4)C=C3)=O)=NN2)=C1,2.899
COC1=CC(OC)=CC(CCC2=CC(NC(C3=CC=C(N4C[C@H](C)N(CC(NCCC5=CC=C(OCCCC(N[C@@H](C(C)(C)C)C(N6[C@H](C(N[C@H](C7=CC=C(C8=C(C)N=CS8)C=C7)C)=O)C[C@@H](O)C6)=O)=O)C=C5)=O)[C@H](C)C4)C=C3)=O)=NN2)=C1,2.834
COC1=CC(OC)=CC(CCC2=CC(NC(C3=CC=C(N4C[C@H](C)N(CC(NCCC5=CC=C(OCCCCC(N[C@@H](C(C)(C)C)C(N6[C@H](C(N[C@H](C7=CC=C(C8=C(C)N=CS8)C=C7)C)=O)C[C@@H](O)C6)=O)=O)C=C5)=O)[C@H](C)C4)C=C3)=O)=NN2)=C1,2.86
COC1=CC(OC)=CC(CCC2=CC(NC(C3=CC=C(N4C[C@H](C)N(CC(NCCC5=CC=C(OCCCCCC(N[C@@H](C(C)(C)C)C(N6[C@H](C(N[C@H](C7=CC=C(C8=C(C)N=CS8)C=C7)C)=O)C[C@@H](O)C6)=O)=O)C=C5)=O)[C@H](C)C4)C=C3)=O)=NN2)=C1,2.895
COC1=CC(OC)=CC(CCC2=CC(NC(C3=CC=C(N4C[C@H](C)N(CC(NCCC5=CC=C(OCCOCCOCC(NCC#CC6=CC=CC7=C6CN(C8CCC(NC8=O)=O)C7=O)=O)C=C5)=O)[C@H](C)C4)C=C3)=O)=NN2)=C1,2.587
O=S(C1=CC=C(C)C=C1)(OCCOCCOCCOCCOC2=CC=CC(C(C3=CSC([C@H]4N(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C5CCCCC5)=O)CCC4)=N3)=O)=C2)=O,1.78
O=S(C1=CC=C(C)C=C1)(OCCOCCOCCOC2=CC=CC(C(C3=CSC([C@H]4N(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C5CCCCC5)=O)CCC4)=N3)=O)=C2)=O,1.78
O=S(C1=CC=C(C)C=C1)(OCCOCCOCCOCCOCCOC2=CC=CC(C(C3=CSC([C@H]4N(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C5CCCCC5)=O)CCC4)=N3)=O)=C2)=O,1.74
O=S(C1=CC=C(C)C=C1)(OCCOCCOCCOC2=CC=CC(O[C@@H]3CN(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C4CCCCC4)=O)[C@H](C(N[C@@H]5CCCC6=C5C=CC=C6)=O)C3)=C2)=O,1.85
O=S(C1=CC=C(C)C=C1)(OCCOCCOCCOCCOC2=CC=CC(O[C@@H]3CN(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C4CCCCC4)=O)[C@H](C(N[C@@H]5CCCC6=C5C=CC=C6)=O)C3)=C2)=O,1.84
O=S(C1=CC=C(C)C=C1)(OCCOCCOCCOCCOCCOC2=CC=CC(O[C@@H]3CN(C([C@@H](NC([C@@H](N(C(OC(C)(C)C)=O)C)C)=O)C4CCCCC4)=O)[C@H](C(N[C@@H]5CCCC6=C5C=CC=C6)=O)C3)=C2)=O,1.83
O=C(OC(C)(C)C)N([C@@H](C)C(N[C@@H](C1CCCCC1)C(N2[C@H](C3=NC(C(C4=CC=CC(OCCOCCOCCOCCNC(C5=CC=C(C6=NC(CNC7=NC=CC(NCC(C)C)=N7)=CS6)C=C5)=O)=C4)=O)=CS3)CCC2)=O)=O)C,1.44
O=C(OC(C)(C)C)N([C@@H](C)C(N[C@@H](C1CCCCC1)C(N2[C@H](C3=NC(C(C4=CC=CC(OCCOCCOCCNC(C5=CC=C(C6=NC(CNC7=NC=CC(NCC(C)C)=N7)=CS6)C=C5)=O)=C4)=O)=CS3)CCC2)=O)=O)C,1.59
O=C(OC(C)(C)C)N([C@@H](C)C(N[C@@H](C1CCCCC1)C(N2[C@H](C3=NC(C(C4=CC=CC(OCCOCCOCCOCCOCCNC(C5=CC=C(C6=NC(CNC7=NC=CC(NCC(C)C)=N7)=CS6)C=C5)=O)=C4)=O)=CS3)CCC2)=O)=O)C,1.57
O=C(OC(C)(C)C)N([C@@H](C)C(N[C@@H](C1CCCCC1)C(N2[C@H](C(N[C@@H]3CCCC4=C3C=CC=C4)=O)C[C@H](OC5=CC=CC(OCCOCCOCCNC(C6=CC=C(C7=NC(CNC8=NC=CC(NCC(C)C)=N8)=CS7)C=C6)=O)=C5)C2)=O)=O)C,1.64
O=C(OC(C)(C)C)N([C@@H](C)C(N[C@@H](C1CCCCC1)C(N2[C@H](C(N[C@@H]3CCCC4=C3C=CC=C4)=O)C[C@H](OC5=CC=CC(OCCOCCOCCOCCNC(C6=CC=C(C7=NC(CNC8=NC=CC(NCC(C)C)=N8)=CS7)C=C6)=O)=C5)C2)=O)=O)C,1.64
O=C(OC(C)(C)C)N([C@@H](C)C(N[C@@H](C1CCCCC1)C(N2[C@H](C(N[C@@H]3CCCC4=C3C=CC=C4)=O)C[C@H](OC5=CC=CC(OCCOCCOCCOCCOCCNC(C6=CC=C(C7=NC(CNC8=NC=CC(NCC(C)C)=N8)=CS7)C=C6)=O)=C5)C2)=O)=O)C,1.62
O=C(NCCOCCOCCOCCOC1=CC=CC(C(C2=CSC([C@H]3N(C([C@H](C4CCCCC4)NC([C@@H](NC)C)=O)=O)CCC3)=N2)=O)=C1)C5=CC=C(C6=NC(CNC7=NC=CC(NCC(C)C)=N7)=CS6)C=C5,1.26
